pclass,survived,embarked,home.dest,sex
1st,dead,Cherbourg,WinnipegMB,male
1st,dead,Cherbourg,WinnipegMN,male
1st,alive,Cherbourg,ZurichSwitzerland,female
1st,alive,Cherbourg,ZurichSwitzerland,male
1st,alive,Cherbourg,ZurichSwitzerland,female
1st,dead,Queenstown,FondduLacWI,male
1st,alive,Queenstown,FondduLacWI,female
1st,alive,Queenstown,GreenBayWI,female
1st,dead,Southampton,AmeniaND,male
1st,alive,Southampton,AmeniaND,female
1st,dead,Southampton,AscotBerkshireRochesterNY,male
1st,alive,Southampton,BaysideQueensNY,female
1st,dead,Southampton,BelfastNI,male
1st,alive,Southampton,BelmontMA,female
1st,dead,Southampton,BenningtonVT,male
1st,alive,Southampton,BirkdaleEnglandClevelandOhio,female
1st,alive,Southampton,BostonMA,male
1st,alive,Southampton,BostonMA,female
1st,dead,Southampton,BrightonMA,male
1st,dead,Southampton,BrocktonMA,male
1st,alive,Southampton,BrooklynNY,male
1st,alive,Southampton,BrooklynNY,female
1st,dead,Southampton,BrooklynNY,male
1st,dead,Southampton,BrunswickME,male
1st,dead,Southampton,BrunswickME,male
1st,alive,Southampton,BrynMawrPA,male
1st,alive,Southampton,BrynMawrPA,female
1st,alive,Southampton,BrynMawrPA,female
1st,alive,Southampton,BrynMawrPA,male
1st,dead,Southampton,DorchesterMA,male
1st,alive,Southampton,DuluthMN,female
1st,dead,Southampton,EastBridgewaterMA,male
1st,dead,Southampton,EastOrangeNJ,male
1st,dead,Southampton,EnglandSaltLakeCityUtah,male
1st,alive,Southampton,GreenwichCT,female
1st,alive,Southampton,GreenwichCT,female
1st,dead,Southampton,HaddenfieldNJ,male
1st,dead,Southampton,HalifaxNS,male
1st,alive,Southampton,HessleYorks,male
1st,alive,Southampton,HudsonNY,female
1st,alive,Southampton,HudsonNY,female
1st,alive,Southampton,HudsonNY,female
1st,dead,Southampton,HuntingtonWV,male
1st,alive,Southampton,HuntingtonWV,female
1st,dead,Southampton,IsleofWightEngland,male
1st,dead,Southampton,IsleworthEngland,male
1st,alive,Southampton,IsleworthEngland,female
1st,alive,Southampton,KingstonSurrey,male
1st,alive,Southampton,LimaPeru,male
1st,dead,Southampton,LittleOnnHallStaffs,male
1st,alive,Southampton,LittleOnnHallStaffs,female
1st,alive,Southampton,Liverpool,male
1st,dead,Southampton,London,male
1st,dead,Southampton,London,male
1st,alive,Southampton,LondonVancouverBC,female
1st,alive,Southampton,LondonEastOrangeNJ,male
1st,alive,Southampton,LondonEastOrangeNJ,female
1st,dead,Southampton,LondonBirmingham,male
1st,dead,Southampton,LondonMiddlesex,male
1st,dead,Southampton,LondonNewYorkNY,male
1st,dead,Southampton,LondonWinnipegMB,male
1st,alive,Southampton,LondonEngland,female
1st,dead,Southampton,LondonEngland,male
1st,alive,Southampton,LondonEngland,male
1st,alive,Southampton,LosAngelesCA,male
1st,alive,Southampton,ManchesterEngland,male
1st,dead,Southampton,MilwaukeeWI,male
1st,alive,Southampton,MilwaukeeWI,female
1st,alive,Southampton,MilwaukeeWI,female
1st,alive,Southampton,MinneapolisMN,male
1st,alive,Southampton,MinneapolisMN,female
1st,dead,Southampton,MontevideoUruguay,male
1st,dead,Southampton,MontevideoUruguay,male
1st,dead,Southampton,MontrealPQ,male
1st,alive,Southampton,MontrealPQ,female
1st,dead,Southampton,MontrealPQ,male
1st,alive,Southampton,MontrealPQ,female
1st,dead,Southampton,MontrealPQ,male
1st,dead,Southampton,MontrealPQ,male
1st,dead,Southampton,MontrealPQChestervilleON,female
1st,dead,Southampton,MontrealPQChestervilleON,male
1st,dead,Southampton,MontrealPQChestervilleON,female
1st,alive,Southampton,MontrealPQChestervilleON,male
1st,alive,Southampton,NewBritainCT,male
1st,alive,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,female
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,female
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,male
1st,dead,Southampton,NewYorkNY,female
1st,dead,Southampton,NewYorkNY,male
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNY,female
1st,alive,Southampton,NewYorkNYStamfordCT,male
1st,alive,Southampton,NewYorkNYStamfordCT,female
1st,alive,Southampton,NewYorkNYGreenwichCT,female
1st,alive,Southampton,NewYorkNYIthacaNY,male
1st,alive,Southampton,NewYorkNYIthacaNY,female
1st,alive,Southampton,PhiladelphiaPA,male
1st,alive,Southampton,PhiladelphiaPA,male
1st,dead,Southampton,PomeroyWA,male
1st,dead,Southampton,PortlandOR,male
1st,dead,Southampton,RoachdaleIN,male
1st,dead,Southampton,RotterdamNetherlands,male
1st,alive,Southampton,SanFranciscoCA,male
1st,alive,Southampton,SanFranciscoCA,female
1st,alive,Southampton,SanFranciscoCA,male
1st,dead,Southampton,ScituateMA,male
1st,alive,Southampton,ScituateMA,female
1st,dead,Southampton,SeattleWA,male
1st,dead,Southampton,SouthingtonNoankCT,male
1st,alive,Southampton,SouthingtonNoankCT,female
1st,dead,Southampton,SpringfieldMA,male
1st,dead,Southampton,StAnne'sonSeaLancashire,male
1st,alive,Southampton,StLeonardsonSeaEnglandOhio,female
1st,alive,Southampton,StLeonardsonSeaEnglandOhio,female
1st,alive,Southampton,StLouisMO,female
1st,alive,Southampton,StLouisMO,female
1st,alive,Southampton,StLouisMO,female
1st,alive,Southampton,StLouisMO,male
1st,dead,Southampton,StockholmSweden,male
1st,alive,Southampton,StockholmSwedenWashingtonDC,male
1st,dead,Southampton,StoughtonMA,male
1st,dead,Southampton,StreathamSurrey,male
1st,dead,Southampton,SurbitonHillSurrey,male
1st,alive,Southampton,TorontoON,male
1st,dead,Southampton,TrentonNJ,male
1st,dead,Southampton,TrentonNJ,male
1st,dead,Southampton,VictoriaBC,male
1st,dead,Southampton,WashingtonDC,male
1st,alive,Southampton,WashingtonDC,male
1st,dead,Southampton,WashingtonDC,male
1st,dead,Southampton,WestcliffonSeaEssex,male
1st,dead,Southampton,WimbledonParkLondonHaylingIslandHants,male
1st,alive,Southampton,WinnipegMB,female
1st,dead,Southampton,WinnipegMB,male
1st,alive,Southampton,WinnipegMB,female
1st,alive,Southampton,WinnipegMB,female
1st,dead,Southampton,WinnipegMB,male
1st,alive,Southampton,WinnipegMB,female
1st,dead,Southampton,WinnipegMB,male
1st,dead,Southampton,WorcesterMA,male
1st,alive,Southampton,YoungstownOH,female
1st,dead,Southampton,YoungstownOH,male
1st,alive,Southampton,YoungstownOH,female
1st,alive,Southampton,YoungstownOH,female
2nd,alive,Cherbourg,BarcelonaSpainHavanaCuba,female
2nd,alive,Cherbourg,BarcelonaSpainHavanaCuba,female
2nd,alive,Cherbourg,BerneSwitzerlandCentralCityIA,female
2nd,alive,Cherbourg,CologneGermany,male
2nd,dead,Cherbourg,LuccaItalyCalifornia,male
2nd,alive,Cherbourg,LuccaItalyCalifornia,female
2nd,alive,Cherbourg,MilfordNH,male
2nd,dead,Cherbourg,MontrealPQ,male
2nd,alive,Cherbourg,NewYorkNY,female
2nd,dead,Cherbourg,NewYorkNY,male
2nd,dead,Cherbourg,NewYorkNY,male
2nd,alive,Cherbourg,NewYorkNY,female
2nd,dead,Cherbourg,NewYorkNY,male
2nd,dead,Cherbourg,Paris,male
2nd,dead,Cherbourg,Paris,male
2nd,dead,Cherbourg,ParisHaiti,male
2nd,alive,Cherbourg,ParisHaiti,female
2nd,alive,Cherbourg,ParisHaiti,female
2nd,alive,Cherbourg,ParisHaiti,female
2nd,dead,Cherbourg,ParisMontrealPQ,male
2nd,alive,Cherbourg,ParisMontrealPQ,female
2nd,alive,Cherbourg,ParisMontrealPQ,male
2nd,dead,Cherbourg,ParisMontrealPQ,male
2nd,dead,Cherbourg,RussiaNewYorkNY,male
2nd,alive,Cherbourg,RussiaNewYorkNY,female
2nd,alive,Cherbourg,SpainHavanaCuba,male
2nd,alive,Cherbourg,SpainHavanaCuba,male
2nd,dead,Queenstown,CambridgeMA,male
2nd,dead,Queenstown,GlasgowBangorME,male
2nd,alive,Queenstown,HalifaxNS,female
2nd,alive,Queenstown,HarrisburgPA,female
2nd,alive,Southampton,AberdeenPortlandOR,female
2nd,alive,Southampton,AberdeenPortlandOR,female
2nd,dead,Southampton,AntwerpBelgiumStantonOH,male
2nd,dead,Southampton,AuburnNY,male
2nd,alive,Southampton,BangkokThailandRosevilleIL,male
2nd,alive,Southampton,BangkokThailandRosevilleIL,female
2nd,alive,Southampton,BangkokThailandRosevilleIL,male
2nd,dead,Southampton,BarreCoWashingtonVT,male
2nd,alive,Southampton,BathEnglandMassachusetts,female
2nd,dead,Southampton,Belfast,male
2nd,dead,Southampton,BishopstokeHantsFayetteValleyID,male
2nd,alive,Southampton,BishopstokeHantsFayetteValleyID,female
2nd,alive,Southampton,BishopstokeHantsFayetteValleyID,female
2nd,dead,Southampton,BostonMA,male
2nd,alive,Southampton,BournmouthEngland,female
2nd,alive,Southampton,BournmouthEngland,female
2nd,dead,Southampton,BournmouthEngland,male
2nd,alive,Southampton,BournmouthEngland,female
2nd,dead,Southampton,BrightonSussex,male
2nd,alive,Southampton,BristolAvonJacksonvilleFL,female
2nd,dead,Southampton,BristolEnglandNewBritainCT,male
2nd,alive,Southampton,BristolEnglandNewBritainCT,female
2nd,dead,Southampton,BromsgroveEnglandMontrealPQ,male
2nd,alive,Southampton,BromsgroveEnglandMontrealPQ,female
2nd,dead,Southampton,BronxNY,male
2nd,dead,Southampton,BronxNY,male
2nd,alive,Southampton,BrooklynNY,female
2nd,dead,Southampton,BrynMawrPAUSA,male
2nd,dead,Southampton,BuenosAiresArgentinaNewJerseyNJ,male
2nd,alive,Southampton,CapeTownSouthAfricaSeattleWA,female
2nd,dead,Southampton,CapeTownSouthAfricaSeattleWA,male
2nd,alive,Southampton,CapeTownSouthAfricaSeattleWA,female
2nd,dead,Southampton,CatfordKentDetroitMI,male
2nd,alive,Southampton,ChelseaLondon,male
2nd,alive,Southampton,ChicagoIL,female
2nd,dead,Southampton,ClevedonEngland,male
2nd,alive,Southampton,ColumbusOH,female
2nd,dead,Southampton,CopenhagenDenmark,male
2nd,dead,Southampton,Cornwall,male
2nd,dead,Southampton,Cornwall,male
2nd,alive,Southampton,CornwallAkronOH,female
2nd,dead,Southampton,CornwallAkronOH,male
2nd,alive,Southampton,CornwallAkronOH,female
2nd,alive,Southampton,CornwallAkronOH,male
2nd,alive,Southampton,CornwallAkronOH,female
2nd,alive,Southampton,CornwallAkronOH,male
2nd,alive,Southampton,CornwallAkronOH,female
2nd,alive,Southampton,CornwallAkronOH,female
2nd,alive,Southampton,CornwallAkronOH,male
2nd,dead,Southampton,CornwallCamdenNJ,male
2nd,dead,Southampton,CornwallCamdenNJ,male
2nd,dead,Southampton,CornwallClearCreekCO,male
2nd,dead,Southampton,CornwallClearCreekCO,male
2nd,dead,Southampton,CornwallHancockMI,male
2nd,alive,Southampton,CornwallHancockMI,female
2nd,dead,Southampton,CornwallHoughtonMI,male
2nd,dead,Southampton,CornwallHoughtonMI,male
2nd,dead,Southampton,CornwallSpokaneWA,male
2nd,dead,Southampton,CornwallSpokaneWA,female
2nd,dead,Southampton,CornwallEnglandHoughtonMI,male
2nd,alive,Southampton,DeerLodgeMT,female
2nd,dead,Southampton,DenmarkNewYorkNY,male
2nd,dead,Southampton,DenmarkHillSurreyChicago,male
2nd,alive,Southampton,DenmarkHillSurreyChicago,female
2nd,alive,Southampton,DetroitMI,female
2nd,alive,Southampton,DetroitMI,male
2nd,dead,Southampton,DevonportEngland,male
2nd,dead,Southampton,ElizabethNJ,male
2nd,alive,Southampton,ElizabethNJ,female
2nd,dead,Southampton,ElmiraNYOrangeNJ,male
2nd,dead,Southampton,England,male
2nd,alive,Southampton,EnglandBenningtonVT,female
2nd,alive,Southampton,EnglandBenningtonVT,female
2nd,dead,Southampton,EnglandDetroitMI,male
2nd,alive,Southampton,EnglandHartfordCT,female
2nd,dead,Southampton,EnglandPhiladelphiaPA,male
2nd,dead,Southampton,EnglandSacramentoCA,male
2nd,alive,Southampton,EnglandSacramentoCA,female
2nd,dead,Southampton,EnglandSanFranciscoCA,male
2nd,alive,Southampton,EnglandSanFranciscoCA,female
2nd,alive,Southampton,FinlandMinneapolisMN,female
2nd,alive,Southampton,FinlandWashingtonDC,female
2nd,alive,Southampton,FolkstoneKentNewYorkNY,female
2nd,dead,Southampton,FrankfortKY,male
2nd,dead,Southampton,Glasgow,male
2nd,dead,Southampton,GoteborgSwedenRockfordIL,male
2nd,dead,Southampton,GreenportNY,male
2nd,alive,Southampton,GreenportNY,female
2nd,alive,Southampton,GreenportNY,male
2nd,dead,Southampton,Guernsey,male
2nd,alive,Southampton,Guernsey,female
2nd,dead,Southampton,GuernseyElizabethNJ,male
2nd,dead,Southampton,GuernseyElizabethNJ,male
2nd,dead,Southampton,GuernseyElizabethNJ,male
2nd,dead,Southampton,GuernseyElizabethNJ,male
2nd,dead,Southampton,GuernseyMontclairNJand/orToledoOhio,male
2nd,alive,Southampton,GuernseyWilmingtonDE,female
2nd,dead,Southampton,GuernseyEnglandEdgewoodRI,male
2nd,dead,Southampton,GunnislakeEnglandButteMT,male
2nd,alive,Southampton,GunturIndiaBentonHarbourMI,female
2nd,alive,Southampton,GunturIndiaBentonHarbourMI,female
2nd,alive,Southampton,GunturIndiaBentonHarbourMI,male
2nd,alive,Southampton,GunturIndiaBentonHarbourMI,female
2nd,dead,Southampton,HalesworthEngland,male
2nd,dead,Southampton,HamiltonON,male
2nd,dead,Southampton,HarrowontheHillMiddlesex,male
2nd,alive,Southampton,HarrowEngland,male
2nd,dead,Southampton,HartfordHuntingdonshire,male
2nd,dead,Southampton,HelsinkiFinlandAshtabulaOhio,male
2nd,dead,Southampton,HolleyNY,male
2nd,dead,Southampton,HornseyEngland,male
2nd,dead,Southampton,IlfordEssexWinnipegMB,male
2nd,alive,Southampton,IlfordEssexWinnipegMB,female
2nd,alive,Southampton,IlfordEssexWinnipegMB,female
2nd,alive,Southampton,IlfracombeDevon,female
2nd,dead,Southampton,IlfracombeDevon,male
2nd,dead,Southampton,IndiaPittsburghPA,female
2nd,alive,Southampton,IndiaRapidCitySD,female
2nd,alive,Southampton,IndianapolisIN,female
2nd,dead,Southampton,JacksonvilleFL,male
2nd,dead,Southampton,JanjgirIndiaPennsylvania,female
2nd,dead,Southampton,KontiolahtiFinlandDetroitMI,female
2nd,dead,Southampton,LakeArthurChavezCountyNM,male
2nd,dead,Southampton,Liverpool,male
2nd,dead,Southampton,LiverpoolMontrealPQ,male
2nd,dead,Southampton,LiverpoolMontrealPQ,male
2nd,alive,Southampton,London,male
2nd,dead,Southampton,London,male
2nd,dead,Southampton,London,male
2nd,dead,Southampton,London,male
2nd,dead,Southampton,London,female
2nd,alive,Southampton,London,female
2nd,alive,Southampton,London,female
2nd,alive,Southampton,London,male
2nd,dead,Southampton,London,male
2nd,alive,Southampton,London,female
2nd,alive,Southampton,LondonChicagoIL,female
2nd,alive,Southampton,LondonFortByronNY,male
2nd,alive,Southampton,LondonMontrealPQ,female
2nd,alive,Southampton,LondonNewYorkNY,female
2nd,alive,Southampton,LondonStatenIslandNY,female
2nd,alive,Southampton,LondonEngland,male
2nd,alive,Southampton,LondonEnglandMariettaOhioandMilwaukeeWI,female
2nd,dead,Southampton,LyndhurstEngland,male
2nd,alive,Southampton,MamaroneckNY,female
2nd,alive,Southampton,MamaroneckNY,female
2nd,alive,Southampton,ManchesterEngland,female
2nd,dead,Southampton,MiddleburgHeightsOH,male
2nd,dead,Southampton,MinneapolisMN,male
2nd,dead,Southampton,MinneapolisMN,female
2nd,dead,Southampton,MoscowBronxNY,male
2nd,alive,Southampton,MoscowBronxNY,female
2nd,dead,Southampton,NewForestEngland,male
2nd,dead,Southampton,NewForestEngland,male
2nd,alive,Southampton,NewYorkNY,female
2nd,dead,Southampton,NewarkNJ,male
2nd,alive,Southampton,NiceFrance,male
2nd,dead,Southampton,NiceFrance,male
2nd,alive,Southampton,NiceFrance,male
2nd,dead,Southampton,NorthEvingtonEngland,male
2nd,alive,Southampton,NorwichNewYorkNY,male
2nd,alive,Southampton,NorwichNewYorkNY,female
2nd,dead,Southampton,OsloNorwayBayonneNJ,male
2nd,dead,Southampton,Paris,female
2nd,dead,Southampton,Pennsylvania,female
2nd,dead,Southampton,PenzanceCornwallAkronOH,male
2nd,dead,Southampton,PenzanceCornwallAkronOH,male
2nd,dead,Southampton,PetworthSussex,male
2nd,dead,Southampton,PhiladelphiaPA,male
2nd,alive,Southampton,PlymouthDevonDetroitMI,female
2nd,alive,Southampton,PlymouthDevonDetroitMI,female
2nd,alive,Southampton,PlymouthDevonDetroitMI,female
2nd,dead,Southampton,PlymouthDorsetHoughtonMI,male
2nd,dead,Southampton,PlymouthEngland,male
2nd,dead,Southampton,PlymouthEngland,female
2nd,alive,Southampton,PondersendEnglandNewDurhamNJ,male
2nd,dead,Southampton,ProvoUT,female
2nd,alive,Southampton,RochesterNY,female
2nd,dead,Southampton,RochesterNY,male
2nd,dead,Southampton,RochesterNY,male
2nd,alive,Southampton,Russia,female
2nd,dead,Southampton,SarniaON,male
2nd,dead,Southampton,SaultStMarieON,male
2nd,dead,Southampton,SeattleWAToledoOH,male
2nd,alive,Southampton,SittingbourneEnglandSanDiegoCA,female
2nd,alive,Southampton,SkaraSwedenRockfordIL,female
2nd,dead,Southampton,SkaraSwedenRockfordIL,male
2nd,alive,Southampton,SomersetBernardsvilleNJ,female
2nd,alive,Southampton,SomersetBernardsvilleNJ,female
2nd,dead,Southampton,SomersetBernardsvilleNJ,male
2nd,alive,Southampton,SomersetBernardsvilleNJ,female
2nd,dead,Southampton,SomersetBernardsvilleNJ,male
2nd,alive,Southampton,Southampton,female
2nd,alive,Southampton,Southampton,female
2nd,dead,Southampton,Southampton,male
2nd,dead,Southampton,SouthamptonNewYorkNY,female
2nd,dead,Southampton,SouthseaHants,male
2nd,alive,Southampton,Spain,female
2nd,dead,Southampton,StAndrewsGuernsey,male
2nd,dead,Southampton,StAustallCornwall,male
2nd,dead,Southampton,StIvesCornwallCalumetMI,male
2nd,dead,Southampton,StIvesCornwallCalumetMI,male
2nd,alive,Southampton,StIvesCornwallHancockMI,female
2nd,alive,Southampton,StIvesCornwallHancockMI,male
2nd,dead,Southampton,StIvesCornwallHoughtonMI,male
2nd,dead,Southampton,SwedenArlingtonNJ,male
2nd,dead,Southampton,SwindonEngland,male
2nd,dead,Southampton,SwindonEngland,female
2nd,dead,Southampton,SydneyAustralia,male
2nd,alive,Southampton,TokyoJapan,male
2nd,dead,Southampton,UpperBurmaIndiaPittsburghPA,female
2nd,dead,Southampton,VancouverBC,male
2nd,dead,Southampton,WalthamstowEngland,male
2nd,dead,Southampton,WarwickEngland,male
2nd,alive,Southampton,WarwickEngland,female
2nd,dead,Southampton,WestHampsteadLondonNeepawaMB,male
2nd,dead,Southampton,WestHampsteadLondonNeepawaMB,male
2nd,dead,Southampton,WestHampsteadLondonNeepawaMB,male
2nd,dead,Southampton,WestHobokenNJ,male
2nd,dead,Southampton,WestKensingtonLondon,male
2nd,dead,Southampton,WestonSuperMareMooseJawSK,male
2nd,dead,Southampton,WestonSuperMareSomerset,male
2nd,alive,Southampton,WestonSuperMareSomerset,female
2nd,alive,Southampton,WoodfordCountyKY,female
2nd,alive,Southampton,WorcesterEngland,female
2nd,dead,Southampton,WorcesterMA,male
2nd,alive,Southampton,YoevilEnglandCottageGroveOR,female
3rd,dead,Cherbourg,AustriaNiagaraFallsNY,male
3rd,dead,Cherbourg,Greece,male
3rd,dead,Cherbourg,Greece,male
3rd,alive,Cherbourg,GreensburgPA,female
3rd,dead,Cherbourg,OttawaON,male
3rd,alive,Cherbourg,OttawaON,female
3rd,dead,Cherbourg,OttawaON,male
3rd,dead,Cherbourg,OttawaON,male
3rd,dead,Cherbourg,OttawaON,female
3rd,dead,Cherbourg,Syria,male
3rd,dead,Cherbourg,Syria,male
3rd,dead,Cherbourg,Syria,male
3rd,dead,Cherbourg,Syria,male
3rd,alive,Cherbourg,SyriaFredericksburgVA,male
3rd,dead,Cherbourg,SyriaKentON,male
3rd,dead,Cherbourg,SyriaKentON,female
3rd,dead,Cherbourg,SyriaKentON,female
3rd,alive,Cherbourg,SyriaNewYorkNY,female
3rd,alive,Cherbourg,SyriaNewYorkNY,female
3rd,alive,Cherbourg,SyriaNewYorkNY,female
3rd,alive,Cherbourg,SyriaNewYorkNY,female
3rd,dead,Cherbourg,SyriaOttawaON,female
3rd,dead,Cherbourg,SyriaOttawaON,female
3rd,dead,Cherbourg,SyriaOttawaON,male
3rd,alive,Cherbourg,SyriaYoungstownOH,female
3rd,alive,Cherbourg,YoungstownOH,female
3rd,dead,Queenstown,AughnacliffCoLongfordIrelandNewYorkNY,male
3rd,alive,Queenstown,BallydehobCoCorkIrelandNewYorkNY,female
3rd,alive,Queenstown,CoAthloneIrelandNewYorkNY,male
3rd,alive,Queenstown,CoAthloneIrelandNewYorkNY,female
3rd,alive,Queenstown,CoClareIrelandWashingtonDC,female
3rd,dead,Queenstown,CoCorkIrelandCharlestownMA,male
3rd,dead,Queenstown,CoCorkIrelandRoxburyMA,female
3rd,dead,Queenstown,CoLimerickIrelandSherbrookePQ,male
